dma,geoCode,2004+cancer,2004+cardiovascular,2004+stroke,2004+depression,2004+rehab,2004+vaccine,2004+diarrhea,2004+obesity,2004+diabetes,2006+cancer,2006+cardiovascular,2006+stroke,2006+depression,2006+rehab,2006+vaccine,2006+diarrhea,2006+obesity,2006+diabetes
Wichita Falls TX & Lawton OK,627,40,15,17,32,27,26,15,57,29,49,15,26,26,48,26,34,18,37
Monroe LA-El Dorado AR,628,58,19,17,35,23,44,19,57,64,54,43,22,31,16,41,26,60,57
Birmingham AL,630,48,11,22,37,25,39,15,27,42,53,31,27,21,46,43,46,29,44
Ottumwa IA-Kirksville MO,631,58,0,14,59,17,33,14,30,39,57,41,28,24,39,44,51,48,48
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,52,4,17,55,16,18,18,36,34,50,22,23,31,48,37,43,51,39
Odessa-Midland TX,633,36,0,14,34,28,22,0,24,30,36,16,27,25,20,29,55,12,45
Amarillo TX,634,41,6,16,51,14,20,12,20,42,46,21,22,28,20,35,29,33,41
Austin TX,635,37,5,13,38,18,31,17,22,33,44,20,22,18,31,38,44,19,35
Harlingen-Weslaco-Brownsville-McAllen TX,636,33,6,19,45,29,43,15,38,54,43,32,21,22,15,18,37,33,44
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,55,11,15,63,13,27,17,51,42,57,31,22,32,30,56,47,42,45
St. Joseph MO,638,46,11,17,70,0,26,23,58,28,48,31,21,26,26,37,70,43,34
Jackson TN,639,38,8,16,36,20,14,12,18,27,40,16,24,18,27,24,66,16,33
Memphis TN,640,48,8,15,34,19,21,17,28,41,51,37,23,20,36,35,55,25,39
San Antonio TX,641,39,5,15,38,16,37,11,24,40,47,24,23,18,31,36,54,19,45
Lafayette LA,642,36,13,14,41,26,17,12,18,32,39,39,25,21,40,27,32,20,29
Lake Charles LA,643,41,19,21,21,0,0,0,32,52,54,34,16,15,56,69,51,34,38
Alexandria LA,644,36,0,49,64,26,51,44,38,55,34,42,20,24,59,100,62,21,40
